laus_code,state_fips_code,county_fips_code,county_name_state_abbreviation,year,labor_force,employed,unemployed,unemployment_rate
CN0503900000000,05,039,"Dallas County, AR",2022,2737,2627,110,4.0     
CN0504100000000,05,041,"Desha County, AR",2022,4969,4707,262,5.3     
CN0504300000000,05,043,"Drew County, AR",2022,7445,7117,328,4.4     
CN0504500000000,05,045,"Faulkner County, AR",2022,63157,61304,1853,2.9     
CN0504700000000,05,047,"Franklin County, AR",2022,7450,7201,249,3.3     
CN0504900000000,05,049,"Fulton County, AR",2022,5017,4847,170,3.4     
CN0505100000000,05,051,"Garland County, AR",2022,42272,40662,1610,3.8     
CN0505300000000,05,053,"Grant County, AR",2022,8468,8206,262,3.1     
CN0505500000000,05,055,"Greene County, AR",2022,19800,19155,645,3.3     
CN0505700000000,05,057,"Hempstead County, AR",2022,9356,9050,306,3.3     
CN0505900000000,05,059,"Hot Spring County, AR",2022,13839,13353,486,3.5     
CN0506100000000,05,061,"Howard County, AR",2022,5399,5219,180,3.3     
CN0506300000000,05,063,"Independence County, AR",2022,16589,16032,557,3.4     
CN0506500000000,05,065,"Izard County, AR",2022,4502,4269,233,5.2     
CN0506700000000,05,067,"Jackson County, AR",2022,5513,5240,273,5.0     
CN0506900000000,05,069,"Jefferson County, AR",2022,25654,24318,1336,5.2     
CN0507100000000,05,071,"Johnson County, AR",2022,10101,9684,417,4.1     
CN0507300000000,05,073,"Lafayette County, AR",2022,2319,2208,111,4.8     
CN0507500000000,05,075,"Lawrence County, AR",2022,6841,6597,244,3.6     
CN0507700000000,05,077,"Lee County, AR",2022,2568,2450,118,4.6     
CN0507900000000,05,079,"Lincoln County, AR",2022,3710,3544,166,4.5     
CN0508100000000,05,081,"Little River County, AR",2022,5205,5004,201,3.9     
CN0508300000000,05,083,"Logan County, AR",2022,8303,7986,317,3.8     
CN0508500000000,05,085,"Lonoke County, AR",2022,34281,33310,971,2.8     
CN0508700000000,05,087,"Madison County, AR",2022,7803,7609,194,2.5     
CN0508900000000,05,089,"Marion County, AR",2022,6305,6070,235,3.7     
CN0509100000000,05,091,"Miller County, AR",2022,18764,18032,732,3.9     
CN0509300000000,05,093,"Mississippi County, AR",2022,16376,15517,859,5.2     
CN0509500000000,05,095,"Monroe County, AR",2022,2556,2443,113,4.4     
CN0509700000000,05,097,"Montgomery County, AR",2022,2865,2728,137,4.8     
CN0509900000000,05,099,"Nevada County, AR",2022,3443,3308,135,3.9     
CN0510100000000,05,101,"Newton County, AR",2022,3204,3108,96,3.0     
CN0510300000000,05,103,"Ouachita County, AR",2022,9656,9279,377,3.9     
CN0510500000000,05,105,"Perry County, AR",2022,4229,4075,154,3.6     
CN0510700000000,05,107,"Phillips County, AR",2022,5609,5257,352,6.3     
CN0510900000000,05,109,"Pike County, AR",2022,4081,3930,151,3.7     
CN0511100000000,05,111,"Poinsett County, AR",2022,9990,9652,338,3.4     
CN0511300000000,05,113,"Polk County, AR",2022,7870,7582,288,3.7     
CN0511500000000,05,115,"Pope County, AR",2022,27695,26624,1071,3.9     
CN0511700000000,05,117,"Prairie County, AR",2022,3546,3441,105,3.0     
CN0511900000000,05,119,"Pulaski County, AR",2022,189654,183049,6605,3.5     
CN0512100000000,05,121,"Randolph County, AR",2022,7248,7002,246,3.4     
CN0512300000000,05,123,"St. Francis County, AR",2022,7592,7221,371,4.9     
CN0512500000000,05,125,"Saline County, AR",2022,60040,58385,1655,2.8     
CN0512700000000,05,127,"Scott County, AR",2022,4230,4111,119,2.8     
CN0512900000000,05,129,"Searcy County, AR",2022,2875,2746,129,4.5     
CN0513100000000,05,131,"Sebastian County, AR",2022,55312,53598,1714,3.1     
CN0513300000000,05,133,"Sevier County, AR",2022,5438,5227,211,3.9     
CN0513500000000,05,135,"Sharp County, AR",2022,5842,5601,241,4.1     
CN0513700000000,05,137,"Stone County, AR",2022,4590,4399,191,4.2     
CN0513900000000,05,139,"Union County, AR",2022,14840,14129,711,4.8     
CN0514100000000,05,141,"Van Buren County, AR",2022,5960,5705,255,4.3     
CN0514300000000,05,143,"Washington County, AR",2022,134071,130955,3116,2.3     
CN0514500000000,05,145,"White County, AR",2022,34288,33086,1202,3.5     
CN0514700000000,05,147,"Woodruff County, AR",2022,2806,2708,98,3.5     
CN0514900000000,05,149,"Yell County, AR",2022,7941,7636,305,3.8     
CN0600100000000,06,001,"Alameda County, CA",2022,825606,798404,27202,3.3     
CN0600300000000,06,003,"Alpine County, CA",2022,501,474,27,5.4     
CN0600500000000,06,005,"Amador County, CA",2022,14350,13716,634,4.4     
CN0600700000000,06,007,"Butte County, CA",2022,91978,87878,4100,4.5     
CN0600900000000,06,009,"Calaveras County, CA",2022,22266,21455,811,3.6     
CN0601100000000,06,011,"Colusa County, CA",2022,10221,9035,1186,11.6     
CN0601300000000,06,013,"Contra Costa County, CA",2022,551477,532060,19417,3.5     
CN0601500000000,06,015,"Del Norte County, CA",2022,9363,8884,479,5.1     
CN0601700000000,06,017,"El Dorado County, CA",2022,93382,90231,3151,3.4     
CN0601900000000,06,019,"Fresno County, CA",2022,453183,424273,28910,6.4     
CN0602100000000,06,021,"Glenn County, CA",2022,12861,12175,686,5.3     
CN0602300000000,06,023,"Humboldt County, CA",2022,59520,57147,2373,4.0     
CN0602500000000,06,025,"Imperial County, CA",2022,70004,59736,10268,14.7     
CN0602700000000,06,027,"Inyo County, CA",2022,8261,7955,306,3.7     
CN0602900000000,06,029,"Kern County, CA",2022,391736,364575,27161,6.9     
CN0603100000000,06,031,"Kings County, CA",2022,56448,52499,3949,7.0     
CN0603300000000,06,033,"Lake County, CA",2022,28530,27116,1414,5.0     
CN0603500000000,06,035,"Lassen County, CA",2022,8948,8549,399,4.5     
CN0603700000000,06,037,"Los Angeles County, CA",2022,4984846,4739924,244922,4.9     
CN0603900000000,06,039,"Madera County, CA",2022,63447,59559,3888,6.1     
CN0604100000000,06,041,"Marin County, CA",2022,131664,128169,3495,2.7     
CN0604300000000,06,043,"Mariposa County, CA",2022,7291,6965,326,4.5     
CN0604500000000,06,045,"Mendocino County, CA",2022,37183,35653,1530,4.1     
CN0604700000000,06,047,"Merced County, CA",2022,115605,106730,8875,7.7     
CN0604900000000,06,049,"Modoc County, CA",2022,3177,3003,174,5.5     
CN0605100000000,06,051,"Mono County, CA",2022,8669,8345,324,3.7     
CN0605300000000,06,053,"Monterey County, CA",2022,220475,207384,13091,5.9     
CN0605500000000,06,055,"Napa County, CA",2022,71001,68724,2277,3.2     
CN0605700000000,06,057,"Nevada County, CA",2022,48473,46809,1664,3.4     
CN0605900000000,06,059,"Orange County, CA",2022,1590882,1540561,50321,3.2     
CN0606100000000,06,061,"Placer County, CA",2022,193823,187891,5932,3.1     
CN0606300000000,06,063,"Plumas County, CA",2022,7428,6946,482,6.5     
CN0606500000000,06,065,"Riverside County, CA",2022,1152096,1104077,48019,4.2     
CN0606700000000,06,067,"Sacramento County, CA",2022,728310,699774,28536,3.9     
CN0606900000000,06,069,"San Benito County, CA",2022,32480,30856,1624,5.0     
CN0607100000000,06,071,"San Bernardino County, CA",2022,1008492,967151,41341,4.1     
CN0607300000000,06,073,"San Diego County, CA",2022,1589551,1534802,54749,3.4     
CN0607500000000,06,075,"San Francisco County/city, CA",2022,572583,557983,14600,2.5     
CN0607700000000,06,077,"San Joaquin County, CA",2022,344418,326351,18067,5.2     
CN0607900000000,06,079,"San Luis Obispo County, CA",2022,137203,133048,4155,3.0     
CN0608100000000,06,081,"San Mateo County, CA",2022,453379,442415,10964,2.4     
CN0608300000000,06,083,"Santa Barbara County, CA",2022,223717,215888,7829,3.5     
CN0608500000000,06,085,"Santa Clara County, CA",2022,1040856,1013288,27568,2.6     
CN0608700000000,06,087,"Santa Cruz County, CA",2022,134175,127787,6388,4.8     
CN0608900000000,06,089,"Shasta County, CA",2022,73134,69783,3351,4.6     
CN0609100000000,06,091,"Sierra County, CA",2022,1320,1265,55,4.2     
CN0609300000000,06,093,"Siskiyou County, CA",2022,16632,15682,950,5.7     
CN0609500000000,06,095,"Solano County, CA",2022,202274,193768,8506,4.2     
CN0609700000000,06,097,"Sonoma County, CA",2022,248277,240509,7768,3.1     
CN0609900000000,06,099,"Stanislaus County, CA",2022,242276,229135,13141,5.4     
CN0610100000000,06,101,"Sutter County, CA",2022,46329,43293,3036,6.6     
CN0610300000000,06,103,"Tehama County, CA",2022,25735,24487,1248,4.8     
CN0610500000000,06,105,"Trinity County, CA",2022,4572,4362,210,4.6     
CN0610700000000,06,107,"Tulare County, CA",2022,207469,190526,16943,8.2     
CN0610900000000,06,109,"Tuolumne County, CA",2022,19877,18990,887,4.5     
CN0611100000000,06,111,"Ventura County, CA",2022,413641,398421,15220,3.7     
CN0611300000000,06,113,"Yolo County, CA",2022,108984,104576,4408,4.0     
CN0611500000000,06,115,"Yuba County, CA",2022,31596,29856,1740,5.5     
CN0800100000000,08,001,"Adams County, CO",2022,282167,272672,9495,3.4     
CN0800300000000,08,003,"Alamosa County, CO",2022,8187,7890,297,3.6     
CN0800500000000,08,005,"Arapahoe County, CO",2022,375538,363967,11571,3.1     
CN0800700000000,08,007,"Archuleta County, CO",2022,6979,6759,220,3.2     
CN0800900000000,08,009,"Baca County, CO",2022,2062,2026,36,1.7     
CN0801100000000,08,011,"Bent County, CO",2022,1774,1711,63,3.6     
CN0801300000000,08,013,"Boulder County, CO",2022,201848,196759,5089,2.5     
CN0801400000000,08,014,"Broomfield County/city, CO",2022,42504,41398,1106,2.6     
CN0801500000000,08,015,"Chaffee County, CO",2022,9825,9559,266,2.7     
CN0801700000000,08,017,"Cheyenne County, CO",2022,1051,1031,20,1.9     
CN0801900000000,08,019,"Clear Creek County, CO",2022,6163,5982,181,2.9     
CN0802100000000,08,021,"Conejos County, CO",2022,3971,3844,127,3.2     
CN0802300000000,08,023,"Costilla County, CO",2022,1785,1711,74,4.1     
CN0802500000000,08,025,"Crowley County, CO",2022,1370,1318,52,3.8     
CN0802700000000,08,027,"Custer County, CO",2022,2311,2243,68,2.9     
CN0802900000000,08,029,"Delta County, CO",2022,13282,12802,480,3.6     
CN0803100000000,08,031,"Denver County/city, CO",2022,436588,423094,13494,3.1     
CN0803300000000,08,033,"Dolores County, CO",2022,1148,1114,34,3.0     
CN0803500000000,08,035,"Douglas County, CO",2022,207841,202637,5204,2.5     
CN0803700000000,08,037,"Eagle County, CO",2022,34793,33882,911,2.6     
CN0803900000000,08,039,"Elbert County, CO",2022,16017,15629,388,2.4     
CN0804100000000,08,041,"El Paso County, CO",2022,358771,347092,11679,3.3     
CN0804300000000,08,043,"Fremont County, CO",2022,14389,13711,678,4.7     
CN0804500000000,08,045,"Garfield County, CO",2022,30903,29975,928,3.0     
CN0804700000000,08,047,"Gilpin County, CO",2022,3935,3827,108,2.7     
CN0804900000000,08,049,"Grand County, CO",2022,9298,9049,249,2.7     
CN0805100000000,08,051,"Gunnison County, CO",2022,11432,11150,282,2.5     
CN0805300000000,08,053,"Hinsdale County, CO",2022,438,427,11,2.5     
CN0805500000000,08,055,"Huerfano County, CO",2022,2470,2320,150,6.1     
CN0805700000000,08,057,"Jackson County, CO",2022,987,966,21,2.1     
CN0805900000000,08,059,"Jefferson County, CO",2022,343275,333723,9552,2.8     
CN0806100000000,08,061,"Kiowa County, CO",2022,898,882,16,1.8     
CN0806300000000,08,063,"Kit Carson County, CO",2022,4116,4036,80,1.9     
CN0806500000000,08,065,"Lake County, CO",2022,4835,4710,125,2.6     
CN0806700000000,08,067,"La Plata County, CO",2022,30851,29926,925,3.0     
CN0806900000000,08,069,"Larimer County, CO",2022,210796,205073,5723,2.7     
CN0807100000000,08,071,"Las Animas County, CO",2022,6074,5792,282,4.6     
CN0807300000000,08,073,"Lincoln County, CO",2022,2204,2141,63,2.9     
CN0807500000000,08,075,"Logan County, CO",2022,10182,9900,282,2.8     
CN0807700000000,08,077,"Mesa County, CO",2022,76866,74254,2612,3.4     
CN0807900000000,08,079,"Mineral County, CO",2022,461,448,13,2.8     
CN0808100000000,08,081,"Moffat County, CO",2022,6833,6617,216,3.2     
CN0808300000000,08,083,"Montezuma County, CO",2022,12340,11876,464,3.8     
CN0808500000000,08,085,"Montrose County, CO",2022,21234,20521,713,3.4     
CN0808700000000,08,087,"Morgan County, CO",2022,15460,14961,499,3.2     
CN0808900000000,08,089,"Otero County, CO",2022,7841,7515,326,4.2     
CN0809100000000,08,091,"Ouray County, CO",2022,2521,2444,77,3.1     
CN0809300000000,08,093,"Park County, CO",2022,11637,11337,300,2.6     
CN0809500000000,08,095,"Phillips County, CO",2022,2429,2378,51,2.1     
CN0809700000000,08,097,"Pitkin County, CO",2022,10598,10249,349,3.3     
CN0809900000000,08,099,"Prowers County, CO",2022,6117,5944,173,2.8     
CN0810100000000,08,101,"Pueblo County, CO",2022,76448,73064,3384,4.4     
CN0810300000000,08,103,"Rio Blanco County, CO",2022,2835,2729,106,3.7     
CN0810500000000,08,105,"Rio Grande County, CO",2022,5294,5070,224,4.2     
CN0810700000000,08,107,"Routt County, CO",2022,15647,15251,396,2.5     
CN0810900000000,08,109,"Saguache County, CO",2022,3357,3242,115,3.4     
CN0811100000000,08,111,"San Juan County, CO",2022,570,555,15,2.6     
CN0811300000000,08,113,"San Miguel County, CO",2022,5581,5406,175,3.1     
CN0811500000000,08,115,"Sedgwick County, CO",2022,1066,1038,28,2.6     
CN0811700000000,08,117,"Summit County, CO",2022,21508,21026,482,2.2     
CN0811900000000,08,119,"Teller County, CO",2022,13416,13015,401,3.0     
CN0812100000000,08,121,"Washington County, CO",2022,2756,2692,64,2.3     
CN0812300000000,08,123,"Weld County, CO",2022,169213,163743,5470,3.2     
CN0812500000000,08,125,"Yuma County, CO",2022,5542,5430,112,2.0     
CN0900100000000,09,001,"Fairfield County, CT",2022,487419,467235,20184,4.1     
CN0900300000000,09,003,"Hartford County, CT",2022,483863,463242,20621,4.3     
CN0900500000000,09,005,"Litchfield County, CT",2022,105940,101859,4081,3.9     
CN0900700000000,09,007,"Middlesex County, CT",2022,94995,91557,3438,3.6     
CN0900900000000,09,009,"New Haven County, CT",2022,473070,452698,20372,4.3     
CN0901100000000,09,011,"New London County, CT",2022,135073,129364,5709,4.2     
CN0901300000000,09,013,"Tolland County, CT",2022,87409,84126,3283,3.8     
CN0901500000000,09,015,"Windham County, CT",2022,64695,61912,2783,4.3     
CN1000100000000,10,001,"Kent County, DE",2022,80172,75965,4207,5.2     
CN1000300000000,10,003,"New Castle County, DE",2022,304561,291284,13277,4.4     
CN1000500000000,10,005,"Sussex County, DE",2022,111955,107009,4946,4.4     
CN1100100000000,11,001,District of Columbia,2022,388403,370229,18174,4.7     
CN1200100000000,12,001,"Alachua County, FL",2022,141466,137497,3969,2.8     
CN1200300000000,12,003,"Baker County, FL",2022,12649,12301,348,2.8     
CN1200500000000,12,005,"Bay County, FL",2022,87970,85609,2361,2.7     
CN1200700000000,12,007,"Bradford County, FL",2022,11075,10728,347,3.1     
CN1200900000000,12,009,"Brevard County, FL",2022,296542,288096,8446,2.8     
CN1201100000000,12,011,"Broward County, FL",2022,1065006,1034531,30475,2.9     
CN1201300000000,12,013,"Calhoun County, FL",2022,4837,4679,158,3.3     
CN1201500000000,12,015,"Charlotte County, FL",2022,76774,74142,2632,3.4     
CN1201700000000,12,017,"Citrus County, FL",2022,49308,47269,2039,4.1     
CN1201900000000,12,019,"Clay County, FL",2022,113134,110151,2983,2.6     
CN1202100000000,12,021,"Collier County, FL",2022,189462,184206,5256,2.8     
CN1202300000000,12,023,"Columbia County, FL",2022,29565,28615,950,3.2     
CN1202700000000,12,027,"DeSoto County, FL",2022,13862,13408,454,3.3     
CN1202900000000,12,029,"Dixie County, FL",2022,5852,5661,191,3.3     
CN1203100000000,12,031,"Duval County, FL",2022,512417,496908,15509,3.0     
CN1203300000000,12,033,"Escambia County, FL",2022,149075,144552,4523,3.0     
CN1203500000000,12,035,"Flagler County, FL",2022,50464,48763,1701,3.4     
CN1203700000000,12,037,"Franklin County, FL",2022,4825,4692,133,2.8     
CN1203900000000,12,039,"Gadsden County, FL",2022,19143,18413,730,3.8     
CN1204100000000,12,041,"Gilchrist County, FL",2022,7408,7184,224,3.0     
CN1204300000000,12,043,"Glades County, FL",2022,5160,4994,166,3.2     
CN1204500000000,12,045,"Gulf County, FL",2022,5432,5286,146,2.7     
CN1204700000000,12,047,"Hamilton County, FL",2022,4203,4034,169,4.0     
CN1204900000000,12,049,"Hardee County, FL",2022,8783,8444,339,3.9     
CN1205100000000,12,051,"Hendry County, FL",2022,15497,14763,734,4.7     
CN1205300000000,12,053,"Hernando County, FL",2022,76875,74123,2752,3.6     
CN1205500000000,12,055,"Highlands County, FL",2022,36202,34693,1509,4.2     
CN1205700000000,12,057,"Hillsborough County, FL",2022,804474,782198,22276,2.8     
CN1205900000000,12,059,"Holmes County, FL",2022,7035,6819,216,3.1     
CN1206100000000,12,061,"Indian River County, FL",2022,67947,65644,2303,3.4     
CN1206300000000,12,063,"Jackson County, FL",2022,16591,16053,538,3.2     
CN1206500000000,12,065,"Jefferson County, FL",2022,5740,5556,184,3.2     
CN1206700000000,12,067,"Lafayette County, FL",2022,2806,2719,87,3.1     
CN1206900000000,12,069,"Lake County, FL",2022,171050,165871,5179,3.0     
CN1207100000000,12,071,"Lee County, FL",2022,375434,363742,11692,3.1     
CN1207300000000,12,073,"Leon County, FL",2022,159970,155227,4743,3.0     
